"order_id";"shipping_days";"delivery_status";"late_delivery_risk";"customer_segment";"market";"order_city";"order_country";"order_date";"quantity";"Sales";"profit";"order_region";"shipping_date";"shipping_mode";"delivery_days";"delay_status"
54;6;"Shipping canceled";0;"Consumer";"LATAM";"Mejicanos";"El Salvador";"2023-01-09 00:00:00";2;100.0;"-6.150000095";"Central America";"2023-01-15 00:00:00";"Standard Class";6;"On Time"
55;2;"Shipping on time";0;"Corporate";"Pacific Asia";"Koshigaya";"Japón";"2025-11-16 00:00:00";1;532.5800171;"123.8199997";"Eastern Asia";"2025-11-18 00:00:00";"Second Class";2;"Delayed"
56;1;"Late delivery";1;"Home Office";"LATAM";"Presidente Dutra";"Brasil";"2025-06-16 00:00:00";5;199.9499969;"38.16999817";"South America";"2025-06-17 00:00:00";"Same Day";1;"On Time"
57;4;"Late delivery";1;"Consumer";"Europe";"Berlín";"Alemania";"2025-07-02 00:00:00";4;200.0;"86.40000153";"Western Europe";"2025-07-06 00:00:00";"Second Class";4;"Delayed"
58;3;"Late delivery";1;"Corporate";"Africa";"Ndola";"Zambia";"2024-11-28 00:00:00";1;129.9900055;"-79.16000366";"East Africa";"2024-12-01 00:00:00";"Second Class";3;"Delayed"
59;2;"Shipping on time";0;"Consumer";"USCA";"Winnipeg";"Canada";"2024-10-16 00:00:00";1;129.9900055;"-214.9700012";"Canada";"2024-10-18 00:00:00";"Second Class";2;"Delayed"
60;6;"Late delivery";1;"Home Office";"LATAM";"Córdoba";"México";"2025-03-24 00:00:00";2;119.9800034;"37.41999817";"Central America";"2025-03-30 00:00:00";"Second Class";6;"On Time"
61;2;"Advance shipping";0;"Corporate";"Pacific Asia";"Estambul";"Turquía";"2024-11-24 00:00:00";1;99.98999786;"44.15999985";"West Asia";"2024-11-26 00:00:00";"Standard Class";2;"On Time"
62;3;"Late delivery";1;"Consumer";"Europe";"Pescara";"Italia";"2023-07-13 00:00:00";1;129.9900055;"4.789999962";"Southern Europe";"2023-07-16 00:00:00";"Second Class";3;"Delayed"
63;2;"Late delivery";1;"Home Office";"LATAM";"San Salvador";"El Salvador";"2025-03-29 00:00:00";1;129.9900055;"14.02999973";"Central America";"2025-03-31 00:00:00";"First Class";2;"Delayed"
64;6;"Late delivery";1;"Consumer";"Pacific Asia";"Caloundra";"Australia";"2023-11-19 00:00:00";4;200.0;"16.60000038";"Oceania";"2023-11-25 00:00:00";"Second Class";6;"On Time"
65;4;"Shipping on time";0;"Home Office";"Europe";"Viena";"Austria";"2023-07-16 00:00:00";1;129.9900055;"19.0699997";"Western Europe";"2023-07-20 00:00:00";"Standard Class";4;"Delayed"
66;6;"Late delivery";1;"Corporate";"Pacific Asia";"Shantou";"China";"2024-02-09 00:00:00";1;299.980011;"24";"Eastern Asia";"2024-02-15 00:00:00";"Standard Class";6;"On Time"
67;4;"Late delivery";1;"Consumer";"Europe";"Paris";"Francia";"2025-10-19 00:00:00";1;357.1000061;"139.9799957";"Western Europe";"2025-10-23 00:00:00";"Second Class";4;"Delayed"
68;2;"Late delivery";1;"Consumer";"USCA";"Inglewood";"Estados Unidos";"2024-04-05 00:00:00";4;199.9199982;"57.58000183";"West of USA ";"2024-04-07 00:00:00";"First Class";2;"On Time"
69;3;"Advance shipping";0;"Home Office";"Africa";"Sidi Bel Abbes";"Argelia";"2024-11-07 00:00:00";5;259.9500122;"104.0299988";"North Africa";"2024-11-10 00:00:00";"Standard Class";3;"Delayed"
70;2;"Late delivery";1;"Corporate";"USCA";"Lakeland";"Estados Unidos";"2024-04-09 00:00:00";1;199.9900055;"29.89999962";"South of  USA ";"2024-04-11 00:00:00";"First Class";2;"Delayed"
71;6;"Late delivery";1;"Corporate";"Europe";"Ghent";"Bélgica";"2023-08-01 00:00:00";1;399.980011;"4.659999847";"Western Europe";"2023-08-07 00:00:00";"Standard Class";6;"On Time"
72;3;"Advance shipping";0;"Corporate";"LATAM";"Mixco";"Guatemala";"2025-02-10 00:00:00";4;199.9199982;"50.93999863";"Central America";"2025-02-13 00:00:00";"Standard Class";3;"Delayed"
73;2;"Late delivery";1;"Corporate";"Europe";"Berlín";"Alemania";"2025-06-28 00:00:00";1;399.980011;"125.7300034";"Western Europe";"2025-06-30 00:00:00";"First Class";2;"On Time"
74;6;"Late delivery";1;"Consumer";"Europe";"Kashira";"Rusia";"2024-11-06 00:00:00";5;299.9500122;"-393.4599915";"Eastern Europe";"2024-11-12 00:00:00";"Standard Class";6;"On Time"
75;3;"Advance shipping";0;"Consumer";"LATAM";"Santa Clara";"Cuba";"2025-05-11 00:00:00";4;200.0;"-46.0699997";"Caribbean";"2025-05-14 00:00:00";"Standard Class";3;"On Time"
76;0;"Shipping on time";0;"Home Office";"Europe";"Imola";"Italia";"2025-08-28 00:00:00";1;99.98999786;"6.050000191";"Southern Europe";"2025-08-28 00:00:00";"Same Day";0;"On Time"
77;2;"Late delivery";1;"Consumer";"Europe";"Ghent";"Bélgica";"2023-08-29 00:00:00";1;129.9900055;"31.29000092";"Western Europe";"2023-08-31 00:00:00";"First Class";2;"Delayed"
78;4;"Shipping on time";0;"Consumer";"Europe";"Venice";"Italia";"2023-09-21 00:00:00";1;199.9900055;"25.20000076";"Southern Europe";"2023-09-25 00:00:00";"Standard Class";4;"Delayed"
79;5;"Late delivery";1;"Corporate";"LATAM";"Montevideo";"Uruguay";"2025-03-31 00:00:00";1;199.9900055;"62.70000076";"South America";"2025-04-05 00:00:00";"Standard Class";5;"On Time"
80;6;"Late delivery";1;"Corporate";"Pacific Asia";"Manila";"Filipinas";"2024-01-19 00:00:00";5;249.8999939;"57.09999847";"Southeast Asia";"2024-01-25 00:00:00";"Second Class";6;"Delayed"
81;2;"Late delivery";1;"Corporate";"Pacific Asia";"Hohhot";"China";"2024-02-02 00:00:00";1;129.9900055;"52.40999985";"Eastern Asia";"2024-02-04 00:00:00";"First Class";2;"Delayed"
82;2;"Advance shipping";0;"Corporate";"Pacific Asia";"Sydney";"Australia";"2025-12-22 00:00:00";1;357.1000061;"9";"Oceania";"2025-12-24 00:00:00";"Standard Class";2;"On Time"
83;4;"Shipping on time";0;"Corporate";"LATAM";"Registro";"Brasil";"2023-05-29 00:00:00";3;150.0;"37.13000107";"South America";"2023-06-02 00:00:00";"Standard Class";4;"Delayed"
84;4;"Late delivery";1;"Consumer";"LATAM";"Ensenada";"México";"2025-04-01 00:00:00";1;129.9900055;"24.70000076";"Central America";"2025-04-05 00:00:00";"Second Class";4;"Delayed"
85;6;"Late delivery";1;"Corporate";"Europe";"Las Rozas de Madrid";"España";"2023-08-31 00:00:00";1;49.97999954;"21.59000015";"Southern Europe";"2023-09-06 00:00:00";"Standard Class";6;"Delayed"
86;2;"Shipping on time";0;"Consumer";"Africa";"Port Harcourt";"Nigeria";"2024-12-10 00:00:00";3;119.9700012;"7.46999979";"West Africa";"2024-12-12 00:00:00";"Second Class";2;"Delayed"
87;2;"Late delivery";1;"Consumer";"LATAM";"San Pedro Sula";"Honduras";"2023-04-15 00:00:00";2;199.9799957;"54.0699997";"Central America";"2023-04-17 00:00:00";"First Class";2;"Delayed"
88;3;"Advance shipping";0;"Home Office";"USCA";"New York City";"Estados Unidos";"2024-07-13 00:00:00";4;199.9199982;"93.08000183";"East of USA";"2024-07-16 00:00:00";"Standard Class";3;"On Time"
89;1;"Late delivery";1;"Corporate";"Pacific Asia";"Estambul";"Turquía";"2025-01-14 00:00:00";1;199.9900055;"-136.6100006";"West Asia";"2025-01-15 00:00:00";"Same Day";1;"Delayed"
90;6;"Late delivery";1;"Consumer";"Pacific Asia";"Wuhan";"China";"2024-01-28 00:00:00";5;249.8999939;"-47.97999954";"Eastern Asia";"2024-02-03 00:00:00";"Standard Class";6;"On Time"
91;2;"Late delivery";1;"Consumer";"LATAM";"Buenos Aires";"Argentina";"2023-04-23 00:00:00";1;399.980011;"101.9899979";"South America";"2023-04-25 00:00:00";"First Class";2;"Delayed"
92;3;"Advance shipping";0;"Consumer";"Europe";"Nice";"Francia";"2023-06-22 00:00:00";1;399.980011;"60.63000107";"Western Europe";"2023-06-25 00:00:00";"Standard Class";3;"Delayed"
93;3;"Advance shipping";0;"Corporate";"Pacific Asia";"Pekín";"China";"2023-11-16 00:00:00";1;199.9900055;"-76";"Eastern Asia";"2023-11-19 00:00:00";"Standard Class";3;"On Time"
94;2;"Advance shipping";0;"Home Office";"LATAM";"Soacha";"Colombia";"2023-01-03 00:00:00";1;299.980011;"85.04000092";"South America";"2023-01-05 00:00:00";"Standard Class";2;"On Time"
95;5;"Late delivery";1;"Consumer";"LATAM";"Surubim";"Brasil";"2023-05-27 00:00:00";3;150.0;"39";"South America";"2023-06-01 00:00:00";"Second Class";5;"Delayed"
96;4;"Shipping on time";0;"Home Office";"Pacific Asia";"Caloundra";"Australia";"2024-01-23 00:00:00";3;149.9400024;"26.38999939";"Oceania";"2024-01-27 00:00:00";"Standard Class";4;"Delayed"
97;5;"Late delivery";1;"Corporate";"Europe";"Toulouse";"Francia";"2023-08-03 00:00:00";1;299.980011;"58.79999924";"Western Europe";"2023-08-08 00:00:00";"Standard Class";5;"On Time"
98;1;"Late delivery";1;"Corporate";"USCA";"New York City";"Estados Unidos";"2024-04-20 00:00:00";1;49.97999954;"-70.09999847";"East of USA";"2024-04-21 00:00:00";"Same Day";1;"Delayed"
99;4;"Late delivery";1;"Consumer";"LATAM";"Barranquilla";"Colombia";"2025-06-08 00:00:00";2;99.95999908;"20.23999977";"South America";"2025-06-12 00:00:00";"Second Class";4;"Delayed"
100;1;"Late delivery";1;"Home Office";"LATAM";"Santo Domingo";"República Dominicana";"2023-02-25 00:00:00";3;179.9700012;"69.11000061";"Caribbean";"2023-02-26 00:00:00";"Same Day";1;"Delayed"
101;6;"Late delivery";1;"Home Office";"Europe";"Alphen aan den Rijn";"Países Bajos";"2023-07-18 00:00:00";5;224.9499969;"-318.8699951";"Western Europe";"2023-07-24 00:00:00";"Standard Class";6;"Delayed"
102;2;"Late delivery";1;"Corporate";"USCA";"Coral Springs";"Estados Unidos";"2024-08-16 00:00:00";2;100.0;"42.5";"South of  USA ";"2024-08-18 00:00:00";"First Class";2;"Delayed"
103;2;"Advance shipping";0;"Corporate";"LATAM";"Chapecó";"Brasil";"2025-04-28 00:00:00";5;299.9500122;"69.11000061";"South America";"2025-04-30 00:00:00";"Standard Class";2;"On Time"
104;6;"Late delivery";1;"Corporate";"Europe";"Vigo";"España";"2023-07-14 00:00:00";1;129.9900055;"8.579999924";"Southern Europe";"2023-07-20 00:00:00";"Second Class";6;"Delayed"
105;4;"Shipping on time";0;"Corporate";"USCA";"Medina";"Estados Unidos";"2024-04-05 00:00:00";1;24.98999977;"-5.420000076";"East of USA";"2024-04-09 00:00:00";"Standard Class";4;"Delayed"
106;2;"Advance shipping";0;"Consumer";"Europe";"London";"Reino Unido";"2023-09-27 00:00:00";1;199.9900055;"53.5699997";"Northern Europe";"2023-09-29 00:00:00";"Standard Class";2;"Delayed"
107;3;"Advance shipping";0;"Corporate";"Pacific Asia";"Pekín";"China";"2023-12-02 00:00:00";5;499.9500122;"126.0899963";"Eastern Asia";"2023-12-05 00:00:00";"Standard Class";3;"On Time"
108;2;"Shipping on time";0;"Corporate";"Pacific Asia";"Nowra";"Australia";"2023-11-30 00:00:00";1;399.980011;"20.15999985";"Oceania";"2023-12-02 00:00:00";"Second Class";2;"Delayed"
109;2;"Late delivery";1;"Consumer";"Pacific Asia";"Lahore";"Pakistán";"2025-12-10 00:00:00";1;39.75;"4.489999771";"South Asia";"2025-12-12 00:00:00";"First Class";2;"Delayed"
110;5;"Late delivery";1;"Corporate";"Pacific Asia";"Mecca";"Arabia Saudí";"2024-11-07 00:00:00";1;299.980011;"-118.1200027";"West Asia";"2024-11-12 00:00:00";"Standard Class";5;"Delayed"
111;4;"Late delivery";1;"Corporate";"LATAM";"Matagalpa";"Nicaragua";"2025-03-11 00:00:00";1;199.9900055;"38.40000153";"Central America";"2025-03-15 00:00:00";"Second Class";4;"On Time"
112;3;"Late delivery";1;"Consumer";"Europe";"San Sebastian";"España";"2025-09-21 00:00:00";1;129.9900055;"-90.08000183";"Southern Europe";"2025-09-24 00:00:00";"Second Class";3;"On Time"
113;6;"Late delivery";1;"Consumer";"Europe";"Colchester";"Reino Unido";"2023-06-12 00:00:00";1;19.98999977;"4.699999809";"Northern Europe";"2023-06-18 00:00:00";"Second Class";6;"On Time"
114;1;"Late delivery";1;"Corporate";"USCA";"San Francisco";"Estados Unidos";"2024-05-30 00:00:00";1;99.98999786;"46.52999878";"West of USA ";"2024-05-31 00:00:00";"Same Day";1;"Delayed"
115;5;"Shipping canceled";0;"Consumer";"LATAM";"Sonsonate";"El Salvador";"2025-04-08 00:00:00";3;119.9700012;"-302.019989";"Central America";"2025-04-13 00:00:00";"Standard Class";5;"On Time"
116;3;"Advance shipping";0;"Consumer";"Europe";"Wolverhampton";"Reino Unido";"2023-09-15 00:00:00";1;299.980011;"-371.980011";"Northern Europe";"2023-09-18 00:00:00";"Standard Class";3;"Delayed"
117;2;"Advance shipping";0;"Consumer";"USCA";"Paterson";"Estados Unidos";"2024-08-09 00:00:00";2;39.97999954;"15.27999973";"East of USA";"2024-08-11 00:00:00";"Standard Class";2;"Delayed"
118;3;"Late delivery";1;"Consumer";"Africa";"Cairo";"Egipto";"2024-11-15 00:00:00";2;100.0;"24.5";"North Africa";"2024-11-18 00:00:00";"Second Class";3;"On Time"
119;2;"Advance shipping";0;"Corporate";"Europe";"Amberes";"Bélgica";"2025-09-11 00:00:00";3;299.9700012;"128.3300018";"Western Europe";"2025-09-13 00:00:00";"Standard Class";2;"On Time"
120;5;"Late delivery";1;"Consumer";"Pacific Asia";"Gorgan";"Irán";"2024-10-10 00:00:00";5;250.0;"60.18000031";"South Asia";"2024-10-15 00:00:00";"Second Class";5;"Delayed"
121;3;"Advance shipping";0;"Corporate";"LATAM";"Ciudad del Carmen";"México";"2025-05-29 00:00:00";4;159.9600067;"53.99000168";"Central America";"2025-06-01 00:00:00";"Standard Class";3;"On Time"
122;5;"Late delivery";1;"Consumer";"Pacific Asia";"Depok";"Indonesia";"2024-01-15 00:00:00";4;59.95999908;"6.820000172";"Southeast Asia";"2024-01-20 00:00:00";"Standard Class";5;"Delayed"
123;3;"Advance shipping";0;"Consumer";"LATAM";"Puerto La Cruz";"Venezuela";"2023-01-04 00:00:00";3;150.0;"34.88000107";"South America";"2023-01-07 00:00:00";"Standard Class";3;"Delayed"
124;3;"Advance shipping";0;"Consumer";"Europe";"Drancy";"Francia";"2023-06-19 00:00:00";1;299.980011;"-54.68000031";"Western Europe";"2023-06-22 00:00:00";"Standard Class";3;"Delayed"
125;3;"Shipping canceled";0;"Consumer";"Pacific Asia";"Nowra";"Australia";"2025-11-14 00:00:00";1;532.5800171;"109.1800003";"Oceania";"2025-11-17 00:00:00";"Standard Class";3;"On Time"
126;3;"Advance shipping";0;"Corporate";"Europe";"Palermo";"Italia";"2023-09-10 00:00:00";2;199.9799957;"-131.9299927";"Southern Europe";"2023-09-13 00:00:00";"Standard Class";3;"On Time"
127;2;"Late delivery";1;"Consumer";"Pacific Asia";"Wollongong";"Australia";"2024-03-30 00:00:00";1;49.97999954;"3.539999962";"Oceania";"2024-04-01 00:00:00";"First Class";2;"On Time"
128;3;"Advance shipping";0;"Consumer";"LATAM";"Buenos Aires";"Argentina";"2025-04-10 00:00:00";4;199.9199982;"-33.99000168";"South America";"2025-04-13 00:00:00";"Standard Class";3;"On Time"
129;6;"Late delivery";1;"Consumer";"LATAM";"João Pessoa";"Brasil";"2023-03-16 00:00:00";2;79.98000336;"-55.43000031";"South America";"2023-03-22 00:00:00";"Standard Class";6;"On Time"
130;4;"Shipping on time";0;"Home Office";"Pacific Asia";"Avadi";"India";"2023-11-01 00:00:00";3;179.9700012;"82.0699997";"South Asia";"2023-11-05 00:00:00";"Standard Class";4;"On Time"
131;5;"Late delivery";1;"Consumer";"LATAM";"Santa Clara";"Cuba";"2023-01-25 00:00:00";2;99.95999908;"10.84000015";"Caribbean";"2023-01-30 00:00:00";"Second Class";5;"Delayed"
132;6;"Late delivery";1;"Home Office";"Africa";"Khemisset";"Marruecos";"2024-09-10 00:00:00";5;299.9500122;"80.01000214";"North Africa";"2024-09-16 00:00:00";"Second Class";6;"Delayed"
133;4;"Shipping on time";0;"Home Office";"LATAM";"Buenos Aires";"Argentina";"2023-01-20 00:00:00";2;99.95999908;"14.02000046";"South America";"2023-01-24 00:00:00";"Standard Class";4;"Delayed"
134;6;"Late delivery";1;"Corporate";"USCA";"New York City";"Estados Unidos";"2024-08-19 00:00:00";1;19.98999977;"0.50999999";"East of USA";"2024-08-25 00:00:00";"Standard Class";6;"On Time"
